index,question,A,B,C,D,E,category,clinical VQA task,department,perceptual granularity,modality,original task
9965,This is a microscopy image. Which of the following options is the most appropriate to describe the highlighted square?,mycobacterium tuberculosis,red blood cell,white blood cell,platelet,,red blood cell,Cell Recognition,Hematology,Box level,Microscopy,DET_2D
9971,"Considering the target encased within the outlined box in the microscopy picture, which option corresponds most accurately?",platelet,white blood cell,red blood cell,mycobacterium tuberculosis,,red blood cell,Cell Recognition,Hematology,Box level,Microscopy,DET_2D
9979,Observe the microscopy image. Can you identify the target within the outlined box?,white blood cell,mycobacterium tuberculosis,platelet,red blood cell,,red blood cell,Cell Recognition,Hematology,Box level,Microscopy,DET_2D
,,,,,,,,,,,,
9980,Which of the following options best matches the marked target in the microscopy image?,platelet,red blood cell,white blood cell,mycobacterium tuberculosis,,white blood cell,Cell Recognition,Hematology,Box level,Microscopy,DET_2D
9981,Observe the microscopy image. Can you identify the target within the outlined box?,platelet,white blood cell,mycobacterium tuberculosis,red blood cell,,white blood cell,Cell Recognition,Hematology,Box level,Microscopy,DET_2D
9982,This is a microscopy image. Which of the following options is the most appropriate to describe the highlighted square?,mycobacterium tuberculosis,red blood cell,platelet,white blood cell,,white blood cell,Cell Recognition,Hematology,Box level,Microscopy,DET_2D
9983,"Looking at the region delineated by a rectangle in the provided microscopy image, which option would be the most target-like?",mycobacterium tuberculosis,white blood cell,red blood cell,platelet,,white blood cell,Cell Recognition,Hematology,Box level,Microscopy,DET_2D
9993,View the microscopy image provided. What target is displayed in the boxed region?,platelet,mycobacterium tuberculosis,white blood cell,red blood cell,,white blood cell,Cell Recognition,Hematology,Box level,Microscopy,DET_2D
9995,"Considering the target encased within the outlined box in the microscopy picture, which option corresponds most accurately?",red blood cell,white blood cell,mycobacterium tuberculosis,platelet,,white blood cell,Cell Recognition,Hematology,Box level,Microscopy,DET_2D
9997,This is a microscopy image. Which of the following options is the most appropriate to describe the highlighted square?,white blood cell,mycobacterium tuberculosis,platelet,red blood cell,,white blood cell,Cell Recognition,Hematology,Box level,Microscopy,DET_2D
9999,View the microscopy image provided. What target is displayed in the boxed region?,mycobacterium tuberculosis,platelet,red blood cell,white blood cell,,white blood cell,Cell Recognition,Hematology,Box level,Microscopy,DET_2D
